Event,Type
"Short Track Speed Skating Women's 3,000 metres Relay",Team
Freestyle Skiing Women's Moguls,Single
Short Track Speed Skating Men's 500 metres,Single
"Shooting Men's Running Target, 10 metres",Single
Polo Men's Polo,Team
"Rowing Men's Coxed Fours, Inriggers",Team
Cycling Men's BMX,Single
Art Competitions Mixed Sculpturing,Single
"Athletics Men's Cross-Country, Individual",Single
"Athletics Men's Cross-Country, Team",Team
Sailing Mixed 40 metres,Single
Cross Country Skiing Men's 10/10 kilometres Pursuit,Single
"Ski Jumping Women's Normal Hill, Individual",Single
"Short Track Speed Skating Men's 1,000 metres",Single
"Short Track Speed Skating Men's 1,500 metres",Single
Gymnastics Men's Club Swinging,Single
Tennis Women's Singles,Single
Tennis Mixed Doubles,Team
Tennis Women's Doubles,Team
Judo Women's Middleweight,Single
Judo Women's Lightweight,Single
Cross Country Skiing Men's Team Sprint,Team
Snowboarding Women's Halfpipe,Single
"Canoeing Women's Kayak Singles, 200 metres",Single
Canoeing Men's Kayak Relay 4 x 500 metres,Team
"Athletics Men's 3,000 metres, Team",Team
Cross Country Skiing Women's Sprint,Single
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Single
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Team
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Single
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Single
"Shooting Men's Military Pistol, Team",Team
Rowing Women's Coxed Fours,Team
"Weightlifting Men's Unlimited, One Hand",Single
"Canoeing Men's Canadian Singles, 500 metres",Single
"Fencing Men's Foil, Masters, Individual",Single
"Fencing Men's epee, Masters, Individual",Single
"Gymnastics Men's Individual All-Around, Field Sports",Single
"Gymnastics Men's Individual All-Around, Apparatus Work",Single
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Single
"Fencing Women's epee, Team",Team
"Swimming Men's 4,000 metres Freestyle",Single
Swimming Men's Underwater Swimming,Single
Sailing Mixed Skiff,Single
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Team
"Shooting Men's Running Target, Single And Double Shot",Single
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Single
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Single
Swimming Women's 10 kilometres Open Water,Single
Snowboarding Women's Slopestyle,Single
Snowboarding Men's Giant Slalom,Single
Snowboarding Men's Parallel Giant Slalom,Single
Snowboarding Men's Boardercross,Single
Snowboarding Men's Parallel Slalom,Single
"Cycling Men's Team Pursuit, 1,980 yards",Team
"Cycling Men's 5,000 metres",Single
Cycling Men's 100 kilometres,Single
Cricket Men's Cricket,Team
"Canoeing Men's Canadian Singles, 10,000 metres",Single
Cross Country Skiing Women's Team Sprint,Team
Boxing Women's Middleweight,Single
Sailing Men's Skiff,Single
Athletics Men's Pentathlon,Single
"Swimming Men's 1,200 metres Freestyle",Single
Shooting Women's Skeet,Single
Biathlon Men's 15 kilometres Mass Start,Single
Cross Country Skiing Men's 30 km Skiathlon,Single
Cycling Men's 1/4 mile,Single
Cycling Men's 1/2 mile,Single
Cycling Men's 5 mile,Single
Cycling Men's 25 mile,Single
"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Single
"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Team
Speed Skating Men's Team Pursuit (8 laps),Team
"Shooting Men's Free Rifle, 1,000 Yards",Single
Cycling Women's Team Pursuit,Team
"Speed Skating Women's 5,000 metres",Single
"Athletics Men's 3,000 metres Walk",Single
Snowboarding Women's Boardercross,Single
"Shooting Mixed Running Target, 50 metres",Single
Luge Mixed Team Relay,Team
Cycling Women's Individual Time Trial,Single
"Fencing Women's Sabre, Individual",Single
"Fencing Men's Sabre, Individual, Three Hits",Single
Archery Women's Double National Round,Single
Cycling Men's Omnium,Single
Equestrianism Mixed Hacks And Hunter Combined,Single
Sailing Mixed 10 metres,Single
"Shooting Men's Trap, Team",Team
